Date,Open,High,Low,Close,Adj Close,Volume
2016-11-23,6.840000,6.920000,6.680000,6.890000,6.154619,189500
2016-11-25,6.890000,6.890000,6.800000,6.840000,6.109956,33700
2016-11-28,6.800000,6.870000,6.760000,6.870000,6.136754,80100
2016-11-29,6.890000,7.010000,6.800000,6.990000,6.243946,119900
2016-11-30,7.040000,7.190000,6.990000,7.020000,6.270744,96400
2016-12-01,7.050000,7.090000,6.920000,6.970000,6.226080,98100
2016-12-02,6.940000,7.100000,6.940000,7.080000,6.324340,38700
2016-12-05,7.130000,7.190000,7.100000,7.150000,6.386869,77200
2016-12-06,8.060000,8.680000,7.980000,8.400000,7.503454,834500
2016-12-07,8.650000,8.870000,8.620000,8.650000,7.726771,220900
2016-12-08,8.570000,8.880000,7.980000,8.870000,7.923291,181800
2016-12-09,8.890000,9.290000,8.720000,9.200000,8.218068,222000
2016-12-12,9.240000,9.500000,9.080000,9.150000,8.201934,258900
2016-12-13,9.250000,9.810000,8.800000,9.760000,8.748730,1002600
2016-12-14,9.830000,9.990000,9.620000,9.650000,8.650126,454900
2016-12-15,9.670000,10.210000,9.650000,10.180000,9.125212,287500
2016-12-16,10.270000,10.910000,8.920000,9.670000,8.668055,705300
2016-12-19,9.640000,9.650000,8.960000,9.140000,8.192970,563100
2016-12-20,9.150000,9.690000,9.150000,9.590000,8.596345,246200
2016-12-21,9.670000,10.000000,9.670000,9.850000,8.829405,195400
2016-12-22,9.870000,9.970000,9.200000,9.690000,8.685983,228300
2016-12-23,9.720000,9.760000,9.460000,9.460000,8.479815,70200
2016-12-27,9.540000,9.660000,9.430000,9.480000,8.497741,130300
2016-12-28,9.500000,9.580000,9.350000,9.520000,8.533598,98200
2016-12-29,9.460000,9.720000,9.460000,9.630000,8.632199,78200
2016-12-30,9.700000,9.710000,9.380000,9.640000,8.641163,121400
2017-01-03,9.660000,10.020000,9.660000,10.000000,8.963862,270900
2017-01-04,9.800000,10.210000,9.790000,10.050000,9.008683,287500
2017-01-05,10.000000,10.250000,10.000000,10.140000,9.089356,132800
2017-01-06,10.200000,10.220000,10.010000,10.190000,9.134176,97400
2017-01-09,10.250000,10.280000,9.860000,9.960000,8.928008,88800
2017-01-10,9.960000,10.290000,9.940000,10.120000,9.071428,174700
2017-01-11,10.070000,10.210000,9.860000,9.980000,8.945934,85700
2017-01-12,9.960000,10.090000,9.660000,9.670000,8.668055,168300
2017-01-13,9.690000,9.970000,9.670000,9.830000,8.811477,150600
2017-01-17,9.670000,9.910000,9.420000,9.420000,8.443959,264600
2017-01-18,9.460000,9.590000,9.200000,9.300000,8.336391,223200
2017-01-19,9.270000,9.400000,9.100000,9.100000,8.157115,94500
2017-01-20,9.080000,9.470000,9.080000,9.450000,8.470850,101700
2017-01-23,8.880000,8.930000,8.070000,8.490000,7.610320,546400
2017-01-24,8.450000,8.890000,8.450000,8.890000,7.968874,88300
2017-01-25,8.880000,9.100000,8.840000,8.910000,7.986802,313000
2017-01-26,8.900000,8.950000,8.630000,8.810000,7.897164,186000
2017-01-27,8.840000,8.840000,8.670000,8.740000,7.834415,56300
2017-01-30,8.740000,8.750000,8.600000,8.620000,7.726849,103900
2017-01-31,8.560000,9.010000,8.300000,8.500000,7.619283,253800
2017-02-01,7.860000,8.000000,7.350000,7.740000,6.938030,733100
2017-02-02,7.680000,7.720000,7.450000,7.600000,6.812535,292500
2017-02-03,7.540000,7.680000,7.100000,7.260000,6.507764,478600
2017-02-06,7.400000,7.740000,7.240000,7.670000,6.875283,294800
2017-02-07,7.600000,7.740000,7.470000,7.710000,6.911138,240900
2017-02-08,7.670000,7.670000,7.520000,7.610000,6.821499,154200
2017-02-09,7.630000,7.700000,7.600000,7.660000,6.866318,224700
2017-02-10,7.660000,7.710000,7.480000,7.700000,6.902174,204800
2017-02-13,7.660000,7.800000,7.450000,7.780000,6.973885,315700
2017-02-14,7.870000,7.870000,7.680000,7.700000,6.902174,100000
2017-02-15,7.790000,7.880000,7.740000,7.780000,6.973885,127800
2017-02-16,7.730000,7.930000,7.600000,7.700000,6.902174,372700
2017-02-17,7.590000,7.790000,7.520000,7.780000,6.973885,118800
2017-02-21,7.710000,7.750000,7.610000,7.700000,6.902174,208500
2017-02-22,7.780000,7.920000,7.710000,7.850000,7.036633,141500
2017-02-23,7.830000,7.920000,7.750000,7.760000,6.955958,129800
2017-02-24,7.790000,7.820000,7.590000,7.710000,6.911138,127300
2017-02-27,7.720000,7.770000,7.660000,7.710000,6.911138,69400
2017-02-28,7.780000,7.800000,7.670000,7.760000,6.955958,288500
2017-03-01,7.850000,7.850000,7.200000,7.300000,6.543620,678000
2017-03-02,7.240000,7.280000,6.900000,7.000000,6.274704,867900
2017-03-03,7.000000,7.200000,6.870000,7.110000,6.373307,284500
2017-03-06,6.990000,7.300000,6.990000,7.180000,6.436054,397200
2017-03-07,7.130000,7.200000,7.010000,7.120000,6.382270,187300
2017-03-08,7.150000,7.180000,7.020000,7.030000,6.301595,333900
2017-03-09,7.080000,7.210000,6.880000,7.210000,6.462945,154700
2017-03-10,7.190000,7.400000,7.190000,7.290000,6.534656,156800
2017-03-13,7.330000,7.550000,7.300000,7.400000,6.633259,198400
2017-03-14,7.330000,7.460000,7.270000,7.350000,6.588439,93200
2017-03-15,7.380000,7.530000,7.360000,7.500000,6.722897,1305100
2017-03-16,7.470000,7.720000,7.470000,7.710000,6.911138,278600
2017-03-17,7.650000,7.790000,7.650000,7.730000,6.929065,96400
2017-03-20,7.720000,7.830000,7.570000,7.810000,7.000776,111600
2017-03-21,7.810000,7.840000,7.510000,7.510000,6.731861,122200
2017-03-22,7.510000,7.700000,7.440000,7.660000,6.866318,54600
2017-03-23,7.710000,7.780000,7.670000,7.690000,6.893210,41900
2017-03-24,7.760000,7.890000,7.730000,7.820000,7.009741,131900
2017-03-27,7.770000,7.830000,7.400000,7.590000,6.803572,337900
2017-03-28,7.390000,7.870000,7.390000,7.780000,6.973885,199600
2017-03-29,7.830000,7.840000,7.660000,7.710000,6.911138,107800
2017-03-30,7.730000,7.750000,7.660000,7.740000,6.938030,25900
2017-03-31,7.750000,7.870000,7.560000,7.710000,6.911138,99700
2017-04-03,7.710000,7.810000,7.610000,7.660000,6.866318,115300
2017-04-04,7.640000,7.690000,7.620000,7.650000,6.857355,98000
2017-04-05,7.710000,7.730000,7.620000,7.630000,6.839428,85900
2017-04-06,7.600000,7.820000,7.600000,7.670000,6.875283,87100
2017-04-07,7.680000,7.800000,7.610000,7.690000,6.893210,118800
2017-04-10,7.770000,7.770000,7.560000,7.570000,6.785645,66800
2017-04-11,7.580000,7.680000,7.500000,7.620000,6.830463,60000
2017-04-12,7.650000,7.650000,7.510000,7.570000,6.785645,76100
2017-04-13,7.510000,7.540000,7.420000,7.490000,6.713933,47800
2017-04-17,7.420000,7.610000,7.420000,7.450000,6.678078,57700
2017-04-18,7.430000,7.540000,7.350000,7.500000,6.722897,42400
2017-04-19,7.530000,7.580000,7.470000,7.500000,6.722897,98600
2017-04-20,7.380000,7.490000,7.200000,7.410000,6.642222,234800
2017-04-21,7.420000,7.490000,7.120000,7.180000,6.436054,54400
2017-04-24,7.260000,7.480000,7.190000,7.220000,6.471909,79400
2017-04-25,7.250000,7.250000,7.020000,7.060000,6.328487,86100
2017-04-26,7.020000,7.180000,6.700000,7.140000,6.400198,95600
2017-04-27,7.100000,7.180000,6.930000,7.170000,6.427090,59400
2017-04-28,7.050000,7.290000,6.960000,7.280000,6.525692,141400
2017-05-01,7.380000,7.380000,7.090000,7.140000,6.400198,30600
2017-05-02,7.180000,7.280000,7.100000,7.160000,6.418125,46600
2017-05-03,7.150000,7.250000,7.030000,7.190000,6.445017,106100
2017-05-04,7.120000,7.200000,7.030000,7.090000,6.355379,27900
2017-05-05,7.170000,7.300000,7.130000,7.300000,6.543620,37300
2017-05-08,7.220000,7.240000,7.000000,7.170000,6.427090,186100
2017-05-09,7.110000,7.200000,7.000000,7.020000,6.292632,101200
2017-05-10,7.060000,7.190000,7.000000,7.100000,6.364342,173500
2017-05-11,7.090000,7.090000,6.980000,7.000000,6.274704,198300
2017-05-12,7.070000,7.150000,6.960000,7.100000,6.364342,94400
2017-05-15,7.190000,7.480000,7.110000,7.440000,6.669114,312500
2017-05-16,7.420000,7.570000,7.410000,7.500000,6.722897,460900
2017-05-17,7.460000,7.470000,7.180000,7.200000,6.453981,364200
2017-05-18,7.170000,7.250000,6.940000,7.140000,6.400198,460000
2017-05-19,7.160000,7.290000,7.090000,7.220000,6.471909,35300
2017-05-22,7.200000,7.280000,7.110000,7.130000,6.391234,90200
