Date,Open,High,Low,Close,Adj Close,Volume
2016-11-23,8.230000,8.300000,8.170000,8.240000,6.468052,705900
2016-11-25,8.160000,8.260000,8.120000,8.140000,6.389557,292300
2016-11-28,8.180000,8.280000,8.130000,8.160000,6.405255,823500
2016-11-29,7.980000,8.050000,7.840000,7.850000,6.161919,756900
2016-11-30,8.250000,8.630000,8.240000,8.560000,6.719238,2432600
2016-12-01,8.770000,8.960000,8.570000,8.590000,6.742787,1501400
2016-12-02,8.600000,8.750000,8.570000,8.580000,6.734938,917200
2016-12-05,8.680000,8.810000,8.600000,8.600000,6.750638,1248600
2016-12-06,8.520000,8.800000,8.520000,8.710000,6.836982,1218600
2016-12-07,8.820000,8.840000,8.660000,8.720000,6.844831,988300
2016-12-08,8.770000,8.770000,8.520000,8.610000,6.758485,1283700
2016-12-09,8.510000,8.810000,8.510000,8.740000,6.860532,539300
2016-12-12,9.010000,9.110000,8.920000,8.970000,7.041071,2262200
2016-12-13,9.070000,9.150000,8.990000,9.100000,7.143116,715700
2016-12-14,9.020000,9.140000,8.970000,8.980000,7.048920,1712100
2016-12-15,8.880000,9.000000,8.610000,8.990000,7.056771,876800
2016-12-16,9.060000,9.160000,8.990000,9.090000,7.135266,632300
2016-12-19,9.100000,9.210000,9.070000,9.190000,7.213762,712600
2016-12-20,9.230000,9.350000,9.210000,9.250000,7.260860,689300
2016-12-21,9.280000,9.330000,9.170000,9.200000,7.221610,417900
2016-12-22,9.160000,9.200000,9.030000,9.030000,7.088169,458400
2016-12-23,9.000000,9.010000,8.850000,8.900000,6.986124,724600
2016-12-27,8.970000,9.150000,8.970000,9.130000,7.166665,385500
2016-12-28,9.140000,9.200000,9.010000,9.100000,7.143116,279100
2016-12-29,9.110000,9.170000,9.060000,9.080000,7.127418,362200
2016-12-30,9.070000,9.150000,9.030000,9.050000,7.103868,262400
2017-01-03,9.160000,9.330000,9.150000,9.280000,7.284409,1020900
2017-01-04,9.310000,9.410000,9.220000,9.400000,7.378603,549000
2017-01-05,9.440000,9.640000,9.440000,9.560000,7.504196,1154800
2017-01-06,9.560000,9.670000,9.450000,9.490000,7.449249,794200
2017-01-09,9.360000,9.390000,9.240000,9.300000,7.300107,639900
2017-01-10,9.340000,9.400000,9.310000,9.370000,7.355054,473800
2017-01-11,9.430000,9.530000,9.360000,9.500000,7.457099,738800
2017-01-12,9.570000,9.710000,9.530000,9.540000,7.488497,1265000
2017-01-13,9.420000,9.530000,9.390000,9.450000,7.417850,759900
2017-01-17,9.500000,9.620000,9.480000,9.560000,7.504196,1169300
2017-01-18,9.430000,9.540000,9.390000,9.420000,7.394302,949800
2017-01-19,9.440000,9.540000,9.380000,9.390000,7.370754,1232000
2017-01-20,9.520000,9.580000,9.470000,9.500000,7.457099,1068400
2017-01-23,9.420000,9.560000,9.420000,9.560000,7.504196,934100
2017-01-24,9.580000,9.620000,9.510000,9.520000,7.472798,923700
2017-01-25,9.480000,9.540000,9.410000,9.460000,7.425701,1758200
2017-01-26,9.480000,9.500000,9.410000,9.450000,7.417850,549800
2017-01-27,9.340000,9.480000,9.340000,9.440000,7.410001,1069500
2017-01-30,9.360000,9.420000,9.280000,9.310000,7.307958,1726600
2017-01-31,9.370000,9.450000,9.330000,9.400000,7.378603,904200
2017-02-01,9.480000,9.610000,9.410000,9.580000,7.519896,1082900
2017-02-02,9.650000,9.670000,9.540000,9.620000,7.551294,855600
2017-02-03,9.650000,9.750000,9.640000,9.670000,7.590542,849900
2017-02-06,9.630000,9.700000,9.500000,9.530000,7.480648,1659000
2017-02-07,9.450000,9.510000,9.380000,9.450000,7.417850,1672700
2017-02-08,9.380000,9.420000,9.290000,9.420000,7.394302,779900
2017-02-09,9.530000,9.540000,9.430000,9.430000,7.402153,851900
2017-02-10,9.560000,9.630000,9.480000,9.620000,7.551294,967700
2017-02-13,9.540000,9.570000,9.430000,9.560000,7.504196,582700
2017-02-14,9.570000,9.590000,9.470000,9.510000,7.464949,902600
2017-02-15,9.460000,9.490000,9.360000,9.470000,7.433549,1464300
2017-02-16,9.500000,9.560000,9.390000,9.390000,7.370754,959000
2017-02-17,9.320000,9.340000,9.230000,9.280000,7.284409,1200000
2017-02-21,9.320000,9.340000,9.200000,9.270000,7.276558,1237400
2017-02-22,9.180000,9.180000,9.010000,9.010000,7.072470,1098600
2017-02-23,9.160000,9.290000,9.110000,9.290000,7.292257,2403400
2017-02-24,9.210000,9.210000,9.040000,9.080000,7.127418,1280500
2017-02-27,9.100000,9.190000,9.060000,9.170000,7.198063,739100
2017-02-28,9.080000,9.130000,8.990000,9.020000,7.080319,656400
2017-03-01,9.020000,9.040000,8.840000,8.910000,6.993974,1324700
2017-03-02,8.790000,8.870000,8.690000,8.760000,6.876231,643900
2017-03-03,8.780000,8.930000,8.740000,8.860000,6.954725,502300
2017-03-06,8.960000,8.980000,8.730000,8.790000,6.899778,1095200
2017-03-07,8.790000,8.950000,8.790000,8.900000,6.986124,808400
2017-03-08,8.830000,8.870000,8.600000,8.610000,6.758485,1546300
2017-03-09,8.580000,8.690000,8.440000,8.680000,6.813434,976000
2017-03-10,8.760000,8.840000,8.710000,8.840000,6.939026,1174400
2017-03-13,8.840000,8.870000,8.760000,8.780000,6.891929,627000
2017-03-14,8.690000,8.700000,8.510000,8.600000,6.750638,978100
2017-03-15,8.720000,8.980000,8.650000,8.970000,7.041071,906200
2017-03-16,9.020000,9.030000,8.890000,8.960000,7.033222,1147700
2017-03-17,9.000000,9.070000,8.930000,8.930000,7.009673,901300
2017-03-20,8.860000,9.080000,8.850000,9.050000,7.103868,562100
2017-03-21,9.080000,9.120000,8.970000,9.030000,7.088169,807900
2017-03-22,9.000000,9.010000,8.910000,8.950000,7.025372,1329100
2017-03-23,8.920000,9.080000,8.920000,8.980000,7.048920,721400
2017-03-24,8.990000,9.110000,8.990000,9.050000,7.103868,532000
2017-03-27,8.950000,9.040000,8.900000,8.940000,7.017523,470600
2017-03-28,8.990000,9.120000,8.920000,9.100000,7.143116,988200
2017-03-29,9.120000,9.340000,9.120000,9.330000,7.323656,972200
2017-03-30,9.380000,9.380000,9.260000,9.270000,7.276558,625400
2017-03-31,9.240000,9.390000,9.240000,9.320000,7.315806,588900
2017-04-03,9.300000,9.400000,9.260000,9.380000,7.362903,662400
2017-04-04,9.380000,9.480000,9.320000,9.480000,7.441400,730800
2017-04-05,9.550000,9.630000,9.400000,9.420000,7.394302,1282200
2017-04-06,9.500000,9.590000,9.440000,9.470000,7.433549,1119100
2017-04-07,9.480000,9.630000,9.480000,9.560000,7.504196,1178200
2017-04-10,9.620000,9.730000,9.590000,9.720000,7.629790,757000
2017-04-11,9.740000,9.760000,9.650000,9.720000,7.629790,1087800
2017-04-12,9.730000,9.750000,9.570000,9.610000,7.543444,1086300
2017-04-13,9.670000,9.670000,9.270000,9.280000,7.284409,1396900
2017-04-17,9.380000,9.650000,9.380000,9.630000,7.559143,970600
2017-04-18,9.570000,9.690000,9.550000,9.620000,7.551294,876900
2017-04-19,9.600000,9.690000,9.460000,9.490000,7.449249,2229200
2017-04-20,9.490000,9.630000,9.480000,9.600000,7.535594,2074700
2017-04-21,9.600000,9.640000,9.410000,9.410000,7.386452,1641700
2017-04-24,9.470000,9.670000,9.470000,9.550000,7.496347,785000
2017-04-25,9.410000,9.430000,9.290000,9.420000,7.521097,1063200
2017-04-26,9.340000,9.440000,9.300000,9.330000,7.449241,999800
2017-04-27,9.220000,9.240000,9.020000,9.060000,7.233667,2106500
2017-04-28,9.120000,9.180000,9.050000,9.140000,7.297541,957600
2017-05-01,9.100000,9.160000,9.020000,9.080000,7.249635,472700
2017-05-02,9.090000,9.170000,9.030000,9.030000,7.209714,2101900
2017-05-03,9.080000,9.240000,9.020000,9.210000,7.353430,1058100
2017-05-04,9.110000,9.110000,8.940000,8.970000,7.161810,1105800
2017-05-05,8.980000,9.280000,8.950000,9.270000,7.401335,1338800
2017-05-08,9.320000,9.360000,9.230000,9.320000,7.441256,2104400
2017-05-09,9.350000,9.350000,9.230000,9.260000,7.393351,879500
2017-05-10,9.370000,9.450000,9.310000,9.390000,7.497146,1095700
