Date,Open,High,Low,Close,Adj Close,Volume
2016-11-23,7.280000,7.380000,7.180000,7.360000,5.923712,68300
2016-11-25,7.400000,7.400000,7.300000,7.300000,5.875421,65100
2016-11-28,7.230000,7.370000,7.230000,7.280000,5.885931,101900
2016-11-29,7.360000,7.408000,7.220000,7.310000,5.910184,240800
2016-11-30,7.380000,7.720000,7.380000,7.580000,6.128480,332300
2016-12-01,7.610000,7.710000,7.510000,7.690000,6.217419,89000
2016-12-02,7.690000,7.770000,7.510000,7.750000,6.265929,109000
2016-12-05,7.780000,8.090000,7.737000,8.060000,6.516565,167000
2016-12-06,8.020000,8.230000,8.020000,8.110000,6.556991,309200
2016-12-07,8.140000,8.210000,8.040000,8.080000,6.532736,279500
2016-12-08,8.090000,8.220000,8.030000,8.120000,6.565077,55200
2016-12-09,8.080000,8.170000,7.960000,8.040000,6.500396,119200
2016-12-12,8.050000,8.100000,8.010000,8.050000,6.508478,73500
2016-12-13,8.070000,8.190000,7.980000,8.150000,6.589330,53700
2016-12-14,8.120000,8.200000,8.011000,8.030000,6.492310,104000
2016-12-15,8.020000,8.070000,7.950000,8.050000,6.508478,222400
2016-12-16,8.060000,8.150000,7.990000,8.030000,6.492310,49200
2016-12-19,8.020000,8.041000,7.930000,7.940000,6.419545,72900
2016-12-20,7.950000,8.110000,7.950000,8.030000,6.492310,58400
2016-12-21,8.040000,8.120000,7.740000,7.800000,6.306354,146300
2016-12-22,7.780000,7.930000,7.760000,7.840000,6.338693,109300
2016-12-23,7.840000,8.035000,7.790000,7.860000,6.354863,76100
2016-12-27,7.800000,8.000000,7.800000,7.960000,6.435715,52800
2016-12-28,7.960000,8.000000,7.850000,7.990000,6.486864,85500
2016-12-29,8.000000,8.100000,8.000000,8.080000,6.559931,48300
2016-12-30,8.120000,8.120000,7.930000,7.940000,6.446271,31000
2017-01-03,8.020000,8.200000,8.020000,8.160000,6.624881,57700
2017-01-04,8.160000,8.340000,8.150000,8.300000,6.738543,211100
2017-01-05,8.310000,8.450000,8.310000,8.420000,6.835969,150600
2017-01-06,8.440000,8.440000,8.281000,8.310000,6.746662,35400
2017-01-09,8.320000,8.340000,8.100000,8.220000,6.673594,35000
2017-01-10,8.270000,8.310000,8.140000,8.170000,6.632999,137600
2017-01-11,8.160000,8.190000,8.040000,8.120000,6.592407,171000
2017-01-12,8.110000,8.370000,8.110000,8.330000,6.762899,54400
2017-01-13,8.350000,8.350000,8.220000,8.230000,6.681712,36300
2017-01-17,8.190000,8.309000,8.190000,8.290000,6.730424,88600
2017-01-18,8.340000,8.340000,8.150000,8.180000,6.641119,64700
2017-01-19,8.250000,8.250000,8.140000,8.180000,6.641119,42900
2017-01-20,8.200000,8.200000,8.050000,8.180000,6.641119,100500
2017-01-23,8.220000,8.260000,8.120000,8.260000,6.706070,168900
2017-01-24,8.270000,8.280000,8.190000,8.270000,6.714187,99900
2017-01-25,8.340000,8.340000,8.250000,8.300000,6.738543,318500
2017-01-26,8.320000,8.420000,8.250000,8.420000,6.835969,351600
2017-01-27,8.440000,8.440000,8.300000,8.360000,6.813961,164800
2017-01-30,8.320000,8.410000,8.260000,8.390000,6.838412,318300
2017-01-31,8.370000,8.400000,8.190000,8.320000,6.781358,251300
2017-02-01,8.360000,8.380000,8.300000,8.370000,6.822112,106000
2017-02-02,8.370000,8.480000,8.350000,8.460000,6.895467,84400
2017-02-03,8.500000,8.590000,8.490000,8.550000,6.968824,141300
2017-02-06,8.550000,8.580000,8.490000,8.550000,6.968824,42600
2017-02-07,8.540000,8.590000,8.480000,8.560000,6.976974,95000
2017-02-08,8.540000,8.540000,8.350000,8.390000,6.838412,90500
2017-02-09,8.420000,8.480000,8.400000,8.460000,6.895467,22300
2017-02-10,8.470000,8.490000,8.420000,8.460000,6.895467,125100
2017-02-13,8.450000,8.450000,8.330000,8.380000,6.830263,115100
2017-02-14,8.320000,8.350000,7.970000,8.010000,6.528689,590600
2017-02-15,8.020000,8.080000,7.860000,7.980000,6.504235,928200
2017-02-16,8.100000,8.170000,8.045000,8.110000,6.610193,299200
2017-02-17,8.100000,8.130000,7.920000,8.120000,6.618345,195000
2017-02-21,8.090000,8.120000,7.850000,7.850000,6.398276,303200
2017-02-22,7.860000,7.900000,7.800000,7.900000,6.439030,402700
2017-02-23,7.990000,8.020000,7.930000,7.970000,6.496084,1031900
2017-02-24,7.970000,8.000000,7.780000,7.790000,6.375772,242900
2017-02-27,7.870000,7.940000,7.800000,7.900000,6.465802,371000
2017-02-28,7.880000,7.890000,7.750000,7.820000,6.400327,129500
2017-03-01,7.870000,7.870000,7.740000,7.740000,6.334848,101800
2017-03-02,7.750000,7.750000,7.430000,7.470000,6.113865,425200
2017-03-03,7.490000,7.655000,7.490000,7.650000,6.261189,69700
2017-03-06,7.730000,7.730000,7.580000,7.690000,6.293925,139100
2017-03-07,7.660000,7.660000,7.510000,7.560000,6.187527,49500
2017-03-08,7.560000,7.580000,7.420000,7.510000,6.146606,6386100
2017-03-09,7.520000,7.570000,7.500000,7.500000,6.138421,97100
2017-03-10,7.530000,7.560000,7.520000,7.540000,6.171159,76400
2017-03-13,7.580000,7.670000,7.560000,7.640000,6.253003,80000
2017-03-14,7.600000,7.650000,7.540000,7.550000,6.179343,69300
2017-03-15,7.610000,7.740000,7.580000,7.720000,6.318480,65300
2017-03-16,7.800000,7.890000,7.730000,7.850000,6.424879,106900
2017-03-17,7.920000,7.950000,7.800000,7.830000,6.408509,174700
2017-03-20,7.830000,7.940000,7.730000,7.840000,6.416694,70700
2017-03-21,7.910000,7.940000,7.710000,7.770000,6.359403,224500
2017-03-22,7.710000,7.890000,7.710000,7.860000,6.433064,93600
2017-03-23,7.890000,8.030000,7.460000,7.810000,6.392141,642100
2017-03-24,7.870000,8.030000,7.850000,8.000000,6.547648,93000
2017-03-27,7.870000,7.990000,7.870000,7.920000,6.482171,97400
2017-03-28,7.850000,7.970000,7.794000,7.900000,6.465802,112300
2017-03-29,7.950000,8.140000,7.925000,8.130000,6.654046,268000
2017-03-30,8.170000,8.190000,8.070000,8.160000,6.678602,115600
2017-03-31,8.190000,8.190000,8.070000,8.170000,6.686787,111400
2017-04-03,8.280000,8.280000,8.115000,8.120000,6.645863,94400
2017-04-04,8.130000,8.290000,8.100000,8.270000,6.768631,250400
2017-04-05,8.340000,8.340000,8.180000,8.200000,6.711339,191700
2017-04-06,8.180000,8.230000,8.130000,8.200000,6.739284,133800
2017-04-07,8.200000,8.280000,8.200000,8.210000,6.747500,41900
2017-04-10,8.180000,8.290000,8.140000,8.270000,6.796813,114300
2017-04-11,8.260000,8.330000,8.230000,8.310000,6.829688,66100
2017-04-12,8.250000,8.403000,8.250000,8.310000,6.829688,179500
2017-04-13,8.300000,8.300000,8.130000,8.160000,6.706408,58200
2017-04-17,8.200000,8.390000,8.200000,8.380000,6.887218,91500
2017-04-18,8.380000,8.390000,8.330000,8.370000,6.878998,62800
2017-04-19,8.370000,8.380000,8.260000,8.300000,6.821469,77500
2017-04-20,8.340000,8.340000,8.250000,8.270000,6.796813,48600
2017-04-21,8.280000,8.280000,8.090000,8.110000,6.665316,136400
2017-04-24,8.150000,8.250000,8.150000,8.230000,6.763938,255800
2017-04-25,8.270000,8.270000,8.160000,8.200000,6.739284,131900
2017-04-26,8.210000,8.210000,8.060000,8.120000,6.673534,135500
2017-04-27,8.010000,8.030000,7.910000,7.920000,6.536531,152800
2017-04-28,7.980000,7.990000,7.860000,7.980000,6.586049,63700
2017-05-01,8.010000,8.130000,8.010000,8.120000,6.701595,57500
2017-05-02,8.100000,8.100000,7.950000,7.960000,6.569541,259200
2017-05-03,7.940000,8.010000,7.920000,7.980000,6.586049,130400
2017-05-04,7.970000,7.970000,7.760000,7.790000,6.429238,308500
2017-05-05,7.820000,8.060000,7.820000,8.060000,6.652078,95400
2017-05-08,8.080000,8.080000,8.010000,8.040000,6.635568,65000
2017-05-09,8.070000,8.070000,7.950000,7.990000,6.594302,85200
2017-05-10,8.030000,8.060000,7.930000,8.020000,6.619061,179200
2017-05-11,8.030000,8.180000,8.020000,8.120000,6.701595,92000
2017-05-12,8.150000,8.330000,8.080000,8.330000,6.874909,139000
2017-05-15,8.400000,8.560000,8.358000,8.530000,7.039976,67500
2017-05-16,8.580000,8.580000,8.410000,8.550000,7.056482,221700
2017-05-17,8.580000,8.580000,8.290000,8.300000,6.850151,81600
2017-05-18,8.300000,8.300000,8.120000,8.140000,6.718101,74000
2017-05-19,8.230000,8.490000,8.080000,8.440000,6.965695,158100
2017-05-22,8.500000,8.500000,8.340000,8.380000,6.916177,169000
2017-05-23,8.450000,8.450000,8.340000,8.400000,6.932683,163800
2017-05-24,8.430000,8.460000,8.360000,8.430000,6.957444,105000
2017-05-25,8.500000,8.520000,8.280000,8.310000,6.858406,63300
2017-05-26,8.360000,8.410000,8.305000,8.370000,6.936304,83100
2017-05-30,8.430000,8.430000,8.280000,8.320000,6.894868,132400
2017-05-31,8.410000,8.430000,8.283000,8.360000,6.928017,465100
2017-06-01,8.340000,8.520000,8.340000,8.440000,6.994312,53200
2017-06-02,8.410000,8.540000,8.410000,8.500000,7.044037,86100
2017-06-05,8.440000,8.510000,8.410000,8.440000,6.994312,74800
2017-06-06,8.400000,8.513000,8.400000,8.510000,7.052322,64800
2017-06-07,8.460000,8.520000,8.370000,8.430000,6.986027,100200
2017-06-08,8.450000,8.480000,8.290000,8.410000,6.969453,107600
2017-06-09,8.430000,8.480000,8.380000,8.470000,7.019175,61400
2017-06-12,8.460000,8.460000,8.400000,8.430000,6.986027,64100
2017-06-13,8.450000,8.450000,8.390000,8.440000,6.994312,42100
2017-06-14,8.450000,8.490000,8.420000,8.450000,7.002600,61800
2017-06-15,8.410000,8.480000,8.380000,8.460000,7.010886,47000
2017-06-16,8.470000,8.500000,8.200000,8.370000,6.936304,159400
2017-06-19,8.360000,8.420000,8.140000,8.360000,6.928017,56900
2017-06-20,8.330000,8.330000,8.010000,8.040000,6.662829,131400
2017-06-21,8.080000,8.090000,7.900000,7.930000,6.571671,244000
2017-06-22,7.940000,8.040000,7.920000,7.960000,6.596531,233100
2017-06-23,8.000000,8.050000,7.860000,7.980000,6.613106,179300
2017-06-26,8.010000,8.090000,7.910000,7.970000,6.604819,64700
2017-06-27,8.000000,8.130000,7.920000,7.930000,6.571671,63100
2017-06-28,7.980000,8.188000,7.950000,8.080000,6.695977,110600
2017-06-29,8.140000,8.280000,8.080000,8.260000,6.874072,267100
2017-06-30,8.280000,8.320000,8.230000,8.280000,6.890715,163400
2017-07-03,8.240000,8.290000,8.060000,8.190000,6.815816,63100
2017-07-05,8.220000,8.330000,8.180000,8.310000,6.915682,190700
